"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1371252320.219,12.481,10.034,1.07e-20,3878.874,7.059,7737.748047,0.000,0.000,1.000,"4lQqgMfkxP","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-19/1371252320.21875/4lQqgMfkxP.png",22.627
1383975937.406,11.715,10.020,3.89e-21,3878.874,3.971,7737.748047,0.000,0.000,1.000,"SiWMgiDIoZ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-11-14/1383975937.40625/SiWMgiDIoZ.png",22.627
1388323182.063,12.435,10.388,7.32e-21,3700.979,1.000,7381.958496,0.000,0.000,1.000,"g8NtVLtgLQ","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-03/1388323182.0625/g8NtVLtgLQ.png",22.627
1259348272.531,11.715,10.199,2.16e-20,1297.461,1.000,2574.921875,0.000,0.000,1.000,"BSOiF3Ysg6","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Ti2YGkdece/BSOiF3Ysg6.png",11.314
1370926412.406,12.481,10.981,1.17e-20,3980.241,3.000,7940.482910,0.000,0.000,1.000,"aYEAEtp55x","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-16/1370926412.40625/aYEAEtp55x.png",22.627
1383967865.906,12.481,10.090,3.21e-21,3406.167,2.500,6792.334961,0.000,0.000,1.000,"zVSyab9Z3k","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-11-14/1383967865.90625/zVSyab9Z3k.png",22.627
1383997492.719,12.481,10.913,4.98e-21,3700.979,3.000,7381.958496,0.000,0.000,1.000,"YWYWcByOHp","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-11-14/1383997492.71875/YWYWcByOHp.png",22.627
1387473720.563,12.435,10.066,9.96e-21,3878.874,3.000,7737.748047,0.000,0.000,1.000,"zXQMTPvuDh","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-24/1387473720.5625/zXQMTPvuDh.png",22.627
1388627931.406,11.715,10.365,1.37e-20,3878.874,1.574,7737.748047,0.000,0.000,1.000,"U6HBdtdtd2","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2024-01-07/1388627931.40625/U6HBdtdtd2.png",22.627
1371200831.891,11.121,10.208,3.84e-20,3980.241,2.248,7940.482910,0.000,0.000,1.000,"K0UU9Oi6xw","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-19/1371200831.890625/K0UU9Oi6xw.png",5.657
